scientific_name,common_name,version_year,region_name,season_name,start_dt,end_dt,Percent of the total population,State Latitude,State Longitude
Charadrius vociferus,Killdeer,2019,Wisconsin,breeding,4/26/18,6/28/18,0.01,44.5,-89.5
Charadrius vociferus,Killdeer,2019,Wisconsin,nonbreeding,12/21/18,1/25/18,0,44.5,-89.5
Charadrius vociferus,Killdeer,2019,Wisconsin,postbreeding_migration,7/13/18,12/14/18,0.0063,44.5,-89.5
Charadrius vociferus,Killdeer,2019,Wisconsin,prebreeding_migration,2/1/18,4/19/18,0.006,44.5,-89.5
Charadrius vociferus,Killdeer,2019,West Virginia,breeding,4/26/18,6/28/18,9.00E-04,39,-80.5
Charadrius vociferus,Killdeer,2019,West Virginia,nonbreeding,12/21/18,1/25/18,4.00E-04,39,-80.5
Charadrius vociferus,Killdeer,2019,West Virginia,postbreeding_migration,7/13/18,12/14/18,8.00E-04,39,-80.5
Charadrius vociferus,Killdeer,2019,West Virginia,prebreeding_migration,2/1/18,4/19/18,0.0014,39,-80.5
Charadrius vociferus,Killdeer,2019,Wyoming,breeding,4/26/18,6/28/18,0.0176,43.07597,-107.290283
Charadrius vociferus,Killdeer,2019,Wyoming,nonbreeding,12/21/18,1/25/18,0,43.07597,-107.290283
Charadrius vociferus,Killdeer,2019,Wyoming,postbreeding_migration,7/13/18,12/14/18,0.009,43.07597,-107.290283
Charadrius vociferus,Killdeer,2019,Wyoming,prebreeding_migration,2/1/18,4/19/18,0.0063,43.07597,-107.290283
